lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
2113SFT02_blue_xl,,23,23,0.22,,27,27,0.25
2125SSP01_blue_sm,,23,23,0.22,,27,27,0.25
2125SSP01_blue_md,,23,23,0.22,,27,27,0.25
2125SSP01_blue_lg,,23,23,0.22,,27,27,0.25
2125SSP01_blue_xl,,23,23,0.22,,27,27,0.25
2128SFA01_blue_sm,,23,23,0.22,,27,27,0.25
2128SFA01_blue_md,,23,23,0.22,,27,27,0.25
2128SFA01_blue_lg,,23,23,0.22,,27,27,0.25
2128SFA01_blue_xl,,23,23,0.22,,27,27,0.25
2129SBA01_blue_sm,,23,23,0.22,,27,27,0.25
2129SBA01_blue_md,,23,23,0.22,,27,27,0.25
2129SBA01_blue_lg,,23,23,0.22,,27,27,0.25
2129SBA01_blue_xl,,23,23,0.22,,27,27,0.25
2127SFH01_blue_sm,,23,23,0.22,,27,27,0.25
2127SFH01_blue_md,,23,23,0.22,,27,27,0.25
2127SFH01_blue_lg,,23,23,0.22,,27,27,0.25
2127SFH01_blue_xl,,23,23,0.22,,27,27,0.25
3049SFA02_blue_sm,,23,23,0.22,,27,27,0.25
3049SFA02_blue_md,,23,23,0.22,,27,27,0.25
3049SFA02_blue_lg,,23,23,0.22,,27,27,0.25
3049SFA02_blue_xl,,23,23,0.22,,27,27,0.25
3051SSE01_blue_sm,,23,23,0.22,,27,27,0.25
3051SSE01_blue_md,,17,17,0.19,,20,20,0.21
3051SSE01_blue_lg,,17,17,0.19,,20,20,0.21
3051SSE01_blue_xl,,17,17,0.19,,20,20,0.21
3048SUN01_red_sm,,17,17,0.19,,20,20,0.21
3048SUN01_red_md,,17,17,0.19,,20,20,0.21
3048SUN01_red_lg,,17,17,0.19,,20,20,0.21
3048SUN01_red_xl,,17,17,0.19,,20,20,0.21
3012SFH02_wine_sm,,17,17,0.19,,20,20,0.21
3012SFH02_wine_md,,17,17,0.19,,20,20,0.21
3012SFH02_wine_lg,,17,17,0.19,,20,20,0.21
3012SFH02_wine_xl,,17,17,0.19,,20,20,0.21
2021SFA02_wine_sm,,17,17,0.19,,20,20,0.21
2021SFA02_wine_md,,17,17,0.19,,20,20,0.21
2021SFA02_wine_lg,,17,17,0.19,,20,20,0.21
2021SFA02_wine_xl,,17,17,0.19,,20,20,0.21
1916SFH02_wine_sm,,17,17,0.19,,20,20,0.21
1916SFH02_wine_md,,17,17,0.19,,20,20,0.21
1916SFH02_wine_lg,,17,17,0.19,,20,20,0.21
1916SFH02_wine_xl,,17,17,0.19,,20,20,0.21
2123SRA01_blue_sm,,17,17,0.19,,20,20,0.21
2123SRA01_blue_md,,17,17,0.19,,20,20,0.21
2123SRA01_blue_lg,,17,17,0.19,,20,20,0.21
2118SSF01_wine_sm,,17,17,0.19,,20,20,0.21
2118SSF01_wine_md,,17,17,0.19,,20,20,0.21
2118SSF01_wine_lg,,17,17,0.19,,20,20,0.21
1045TRS01_blue_sm,,17,17,0.19,,20,20,0.21
1045TRS01_blue_md,,17,17,0.19,,20,20,0.21
1045TRS01_blue_lg,,17,17,0.19,,20,20,0.21
1045TRS01_blue_xl,,17,17,0.19,,20,20,0.21
1042TRS01_blue_sm,,17,17,0.19,,20,20,0.21
1042TRS01_blue_md,,17,17,0.19,,20,20,0.21
1042TRS01_blue_lg,,17,17,0.19,,20,20,0.21
1042TRS01_blue_xl,,17,17,0.19,,20,20,0.21
1043TRS01_red_sm,,17,17,0.19,,20,20,0.21
1043TRS01_red_md,,17,17,0.19,,20,20,0.21
1043TRS01_red_lg,,17,17,0.19,,20,20,0.21
1043TRS01_red_xl,,17,17,0.19,,20,20,0.21
1044TRS01_black_sm,,17,17,0.19,,20,20,0.21
1044TRS01_black_md,,17,17,0.19,,20,20,0.21
1044TRS01_black_lg,,17,17,0.19,,20,20,0.21
1044TRS01_black_xl,,17,17,0.19,,20,20,0.21
1048TSS01_blue_sm,,17,17,0.19,,20,20,0.21
1048TSS01_blue_md,,17,17,0.19,,20,20,0.21
1048TSS01_blue_lg,,17,17,0.19,,20,20,0.21
1048TSS01_blue_xl,,17,17,0.19,,20,20,0.21
1049TSS01_blue_sm,,17,17,0.19,,20,20,0.21
1049TSS01_blue_md,,17,17,0.19,,20,20,0.21
1049TSS01_blue_lg,,17,17,0.19,,20,20,0.21
1049TSS01_blue_xl,,17,17,0.19,,20,20,0.21
1050TSS01_yellow_sm,,17,17,0.19,,20,20,0.21
1050TSS01_yellow_md,,17,17,0.19,,20,20,0.21
1050TSS01_yellow_lg,,17,17,0.19,,20,20,0.21
1050TSS01_yellow_xl,,17,17,0.19,,20,20,0.21
1040TBS01_blue_sm,,17,17,0.19,,20,20,0.21
1040TBS01_blue_md,,17,17,0.19,,20,20,0.21
1040TBS01_blue_lg,,17,17,0.19,,20,20,0.21
1040TBS01_blue_xl,,17,17,0.19,,20,20,0.21
1041TBS01_blue_sm,,17,17,0.19,,20,20,0.21
1041TBS01_blue_md,,17,17,0.19,,20,20,0.21
1041TBS01_blue_lg,,17,17,0.19,,20,20,0.21
1041TBS01_blue_xl,,17,17,0.19,,20,20,0.21
1046TSF01_blue_sm,,17,17,0.19,,20,20,0.21
1046TSF01_blue_md,,17,17,0.19,,20,20,0.21
1046TSF01_blue_lg,,17,17,0.19,,20,20,0.21
1046TSF01_blue_xl,,17,17,0.19,,20,20,0.21
1047TSF01_red_sm,,17,17,0.19,,20,20,0.21
1047TSF01_red_md,,17,17,0.19,,20,20,0.21
1047TSF01_red_lg,,17,17,0.19,,20,20,0.21
1047TSF01_red_xl,,17,17,0.19,,20,20,0.21
1038TSL01_blue_sm,,17,17,0.19,,20,20,0.21
1038TSL01_blue_md,,17,17,0.19,,20,20,0.21
1038TSL01_blue_lg,,17,17,0.19,,20,20,0.21
1038TSL01_blue_xl,,17,17,0.19,,20,20,0.21
1039TSL01_blue_sm,,17,17,0.19,,20,20,0.21
1039TSL01_blue_md,,17,17,0.19,,20,20,0.21
1039TSL01_blue_lg,,17,17,0.19,,20,20,0.21
1039TSL01_blue_xl,,17,17,0.19,,20,20,0.21
