lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
2131SUN03_orange_lg,,17,17,0.19,,20,20,0.21
2131SUN03_orange_xl,,17,17,0.19,,20,20,0.21
2135SSF03_red_sm,,17,17,0.19,,20,20,0.21
2135SSF03_red_md,,17,17,0.19,,20,20,0.21
2135SSF03_red_lg,,17,17,0.19,,20,20,0.21
2135SSF03_red_xl,,17,17,0.19,,20,20,0.21
2153SUN02_pink_sm,,17,17,0.19,,20,20,0.21
2153SUN02_pink_md,,17,17,0.19,,20,20,0.21
2153SUN02_pink_lg,,17,17,0.19,,20,20,0.21
2153SUN02_pink_xl,,17,17,0.19,,20,20,0.21
2161SFA02_blue_sm,,17,17,0.19,,20,20,0.21
2161SFA02_blue_md,,17,17,0.19,,20,20,0.21
2161SFA02_blue_lg,,17,17,0.19,,20,20,0.21
2161SFA02_blue_xl,,17,17,0.19,,20,20,0.21
2162SFA02_blue_sm,,17,17,0.19,,20,20,0.21
2162SFA02_blue_md,,17,17,0.19,,20,20,0.21
2162SFA02_blue_lg,,17,17,0.19,,20,20,0.21
2162SFA02_blue_xl,,17,17,0.19,,20,20,0.21
2164SRA02_blue_sm,,17,17,0.19,,20,20,0.21
2164SRA02_blue_md,,17,17,0.19,,20,20,0.21
2164SRA02_blue_lg,,17,17,0.19,,20,20,0.21
2164SRA02_blue_xl,,17,17,0.19,,20,20,0.21
2167SFT01_red_sm,,17,17,0.19,,20,20,0.21
2167SFT01_red_md,,17,17,0.19,,20,20,0.21
2167SFT01_red_lg,,17,17,0.19,,20,20,0.21
2167SFT01_red_xl,,17,17,0.19,,20,20,0.21
2169SBA01_red_sm,,17,17,0.19,,20,20,0.21
2169SBA01_red_md,,17,17,0.19,,20,20,0.21
2169SBA01_red_lg,,17,17,0.19,,20,20,0.21
2169SBA01_red_xl,,17,17,0.19,,20,20,0.21
2170SSE01_red_sm,,17,17,0.19,,20,20,0.21
2170SSE01_red_md,,60,70,0.2,,65,75,0.22
2170SSE01_red_lg,,60,70,0.2,,65,75,0.22
2170SSE01_red_xl,,60,70,0.2,,65,75,0.22
2171SFH01_brown_sm,,60,70,0.2,,65,75,0.22
2171SFH01_brown_md,,60,70,0.2,,65,75,0.22
2171SFH01_brown_lg,,60,70,0.2,,65,75,0.22
2171SFH01_brown_xl,,60,70,0.2,,65,75,0.22
3047SFH03_red_sm,,60,70,0.2,,65,75,0.22
3047SFH03_red_md,,60,70,0.2,,65,75,0.22
3047SFH03_red_lg,,60,70,0.2,,65,75,0.22
3047SFH03_red_xl,,60,70,0.2,,65,75,0.22
3059SFT02_red_sm,,60,70,0.2,,65,75,0.22
3059SFT02_red_md,,60,70,0.2,,65,75,0.22
3059SFT02_red_lg,,60,70,0.2,,65,75,0.22
3059SFT02_red_xl,,60,70,0.2,,65,75,0.22
3060SFA03_brown_sm,,60,70,0.2,,65,75,0.22
3060SFA03_brown_md,,60,70,0.2,,65,75,0.22
3060SFA03_brown_lg,,60,70,0.2,,65,75,0.22
3060SFA03_brown_xl,,60,70,0.2,,65,75,0.22
3061SSP01_brown_sm,,60,70,0.2,,65,75,0.22
3061SSP01_brown_md,,50,60,0.2,,55,65,0.21
3061SSP01_brown_lg,,50,60,0.2,,55,65,0.21
3061SSP01_brown_xl,,50,60,0.2,,55,65,0.21
3062SBA01_red_sm,,50,60,0.2,,55,65,0.21
3062SBA01_red_md,,50,60,0.2,,55,65,0.21
3062SBA01_red_lg,,50,60,0.2,,55,65,0.21
3062SBA01_red_xl,,50,60,0.2,,55,65,0.21
1483CCT02_red_sm,,50,60,0.2,,55,65,0.21
1483CCT02_red_md,,50,60,0.2,,55,65,0.21
1483CCT02_red_lg,,50,60,0.2,,55,65,0.21
1483CCT02_red_xl,,50,60,0.2,,55,65,0.21
9086KST02_green_2_3k,,50,60,0.2,,55,65,0.21
9086KST02_green_4_6k,,50,60,0.2,,55,65,0.21
9086KST02_green_8_10k,,50,60,0.2,,55,65,0.21
9086KST02_green_12_14k,,50,60,0.2,,55,65,0.21
9086KST02_green_16_18k,,50,60,0.2,,55,65,0.21
9086KST03_blue_2_3k,,50,60,0.2,,55,65,0.21
9086KST03_blue_4_6k,,50,60,0.2,,55,65,0.21
9086KST03_blue_8_10k,,50,60,0.2,,55,65,0.21
9086KST03_blue_12_14k,,50,60,0.2,,55,65,0.21
9086KST03_blue_16_18k,,50,60,0.2,,55,65,0.21
9088KST02_red_2_3k,,50,60,0.2,,55,65,0.21
9088KST02_red_4_6k,,50,60,0.2,,55,65,0.21
9088KST02_red_8_10k,,50,60,0.2,,55,65,0.21
9088KST02_red_12_14k,,50,60,0.2,,55,65,0.21
9088KST02_red_16_18K,,50,60,0.2,,55,65,0.21
9088KST03_blue_2_3k,,50,60,0.2,,55,65,0.21
9088KST03_blue_4_6k,,50,60,0.2,,55,65,0.21
9088KST03_blue_8_10k,,50,60,0.2,,55,65,0.21
9088KST03_blue_12_14k,,50,60,0.2,,55,65,0.21
9088KST03_blue_16_18k,,50,60,0.2,,55,65,0.21
3083KKB03_red_2k,,50,60,0.2,,55,65,0.21
3083KKB03_red_4k,,50,60,0.2,,55,65,0.21
3083KKB03_red_6k,,50,60,0.2,,55,65,0.21
3083KKB03_red_8k,,50,60,0.2,,55,65,0.21
3083KKB03_red_10k,,50,60,0.2,,55,65,0.21
3083KKB03_red_12k,,50,60,0.2,,55,65,0.21
3083KKB03_red_14k,,50,60,0.2,,55,65,0.21
3083KKB03_red_16k,,50,60,0.2,,55,65,0.21
3090KKB02_red_2k,,50,60,0.2,,55,65,0.21
3090KKB02_red_4k,,50,60,0.2,,55,65,0.21
3090KKB02_red_6k,,50,60,0.2,,55,65,0.21
3090KKB02_red_8k,,50,60,0.2,,55,65,0.21
3090KKB02_red_10k,,50,60,0.2,,55,65,0.21
3090KKB02_red_12k,,50,60,0.2,,55,65,0.21
3090KKB02_red_14k,,50,60,0.2,,55,65,0.21
3090KKB02_red_16k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_2k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_4k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_6k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_8k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_10k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_12k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_14k,,50,60,0.2,,55,65,0.21
3080KKB03_blue_16k,,50,60,0.2,,55,65,0.21
3094KKO01_red_2k,,50,60,0.2,,55,65,0.21
3094KKO01_red_4k,,50,60,0.2,,55,65,0.21
3094KKO01_red_6k,,50,60,0.2,,55,65,0.21
3094KKO01_red_8k,,50,60,0.2,,55,65,0.21
3094KKO01_red_10k,,50,60,0.2,,55,65,0.21
3094KKO01_red_12k,,50,60,0.2,,55,65,0.21
3094KKO01_red_14k,,50,60,0.2,,55,65,0.21
3094KKO01_red_16k,,50,60,0.2,,55,65,0.21
