lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3039SDC04_black_sm,Size,3039SDC04_black_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3039SDC04_black_md,Size,3039SDC04_black_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3039SDC04_black_lg,Size,3039SDC04_black_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3039SDC04_black_xl,Size,3039SDC04_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
2187SBC01_black_xs,Size,2187SBC01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2187SBC01_black_sm,Size,2187SBC01_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2187SBC01_black_md,Size,2187SBC01_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2187SBC01_black_lg,Size,2187SBC01_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2187SBC01_black_xl,Size,2187SBC01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2187SDC01_black_xs,Size,2187SDC01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2187SDC01_black_sm,Size,2187SDC01_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2187SDC01_black_md,Size,2187SDC01_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2187SDC01_black_lg,Size,2187SDC01_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2187SDC01_black_xl,Size,2187SDC01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
1943SBC04_black_xs,Size,1943SBC04_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
1943SBC04_black_sm,Size,1943SBC04_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
1943SBC04_black_md,Size,1943SBC04_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
1943SBC04_black_lg,Size,1943SBC04_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
1943SBC04_black_xl,Size,1943SBC04_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
1943SCC04_black_xs,Size,1943SCC04_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
1943SCC04_black_sm,Size,1943SCC04_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
1943SCC04_black_md,Size,1943SCC04_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
1943SCC04_black_lg,Size,1943SCC04_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
1943SCC04_black_xl,Size,1943SCC04_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2122SOB02_black_xs,Size,2122SOB02_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,275000,COP Price
