lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1932SFT04_black_md,Size,1932SFT04_black_md,active,Maaji,7.70278E+12,MEDIUM,115000,COP Price
1932SFT04_black_lg,Size,1932SFT04_black_lg,active,Maaji,7.70278E+12,LARGE,115000,COP Price
1932SFT04_black_xl,Size,1932SFT04_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,115000,COP Price
1932SFT05_orange_sm,Size,1932SFT05_orange_sm,active,Maaji,7.70278E+12,SMALL,115000,COP Price
1932SFT05_orange_md,Size,1932SFT05_orange_md,active,Maaji,7.70278E+12,MEDIUM,115000,COP Price
1932SFT05_orange_lg,Size,1932SFT05_orange_lg,active,Maaji,7.70278E+12,LARGE,115000,COP Price
1932SFT05_orange_xl,Size,1932SFT05_orange_xl,active,Maaji,7.70278E+12,EXTRA LARGE,115000,COP Price
2021SFA04_orange_sm,Size,2021SFA04_orange_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2021SFA04_orange_md,Size,2021SFA04_orange_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2021SFA04_orange_lg,Size,2021SFA04_orange_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2021SFA04_orange_xl,Size,2021SFA04_orange_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2033SUN04_black_sm,Size,2033SUN04_black_sm,active,Maaji,7.70278E+12,SMALL,100000,COP Price
2033SUN04_black_md,Size,2033SUN04_black_md,active,Maaji,7.70278E+12,MEDIUM,100000,COP Price
2033SUN04_black_lg,Size,2033SUN04_black_lg,active,Maaji,7.70278E+12,LARGE,100000,COP Price
2033SUN04_black_xl,Size,2033SUN04_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,100000,COP Price
2112SFA02_blue_sm,Size,2112SFA02_blue_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2112SFA02_blue_md,Size,2112SFA02_blue_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2112SFA02_blue_lg,Size,2112SFA02_blue_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2112SFA02_blue_xl,Size,2112SFA02_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2131SUN02_red_sm,Size,2131SUN02_red_sm,active,Maaji,7.70278E+12,SMALL,100000,COP Price
2131SUN02_red_md,Size,2131SUN02_red_md,active,Maaji,7.70278E+12,MEDIUM,100000,COP Price
2131SUN02_red_lg,Size,2131SUN02_red_lg,active,Maaji,7.70278E+12,LARGE,100000,COP Price
2131SUN02_red_xl,Size,2131SUN02_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,100000,COP Price
2131SUN03_orange_sm,Size,2131SUN03_orange_sm,active,Maaji,7.70278E+12,SMALL,100000,COP Price
2131SUN03_orange_md,Size,2131SUN03_orange_md,active,Maaji,7.70278E+12,MEDIUM,100000,COP Price
2131SUN03_orange_lg,Size,2131SUN03_orange_lg,active,Maaji,7.70278E+12,LARGE,100000,COP Price
2131SUN03_orange_xl,Size,2131SUN03_orange_xl,active,Maaji,7.70278E+12,EXTRA LARGE,100000,COP Price
2135SSF03_red_sm,Size,2135SSF03_red_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
2135SSF03_red_md,Size,2135SSF03_red_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
2135SSF03_red_lg,Size,2135SSF03_red_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
2153SUN02_red_sm,Size,2153SUN02_red_sm,active,Maaji,7.70278E+12,SMALL,100000,COP Price
2153SUN02_red_md,Size,2153SUN02_red_md,active,Maaji,7.70278E+12,MEDIUM,100000,COP Price
2153SUN02_red_lg,Size,2153SUN02_red_lg,active,Maaji,7.70278E+12,LARGE,100000,COP Price
2153SUN02_red_xl,Size,2153SUN02_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,100000,COP Price
2161SFA02_black_sm,Size,2161SFA02_black_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2161SFA02_black_md,Size,2161SFA02_black_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2161SFA02_black_lg,Size,2161SFA02_black_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2161SFA02_black_xl,Size,2161SFA02_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2162SFA02_blue_sm,Size,2162SFA02_blue_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2162SFA02_blue_md,Size,2162SFA02_blue_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2162SFA02_blue_lg,Size,2162SFA02_blue_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2162SFA02_blue_xl,Size,2162SFA02_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2164SRA02_blue_sm,Size,2164SRA02_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
2164SRA02_blue_md,Size,2164SRA02_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
2164SRA02_blue_lg,Size,2164SRA02_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
2167SFT01_red_sm,Size,2167SFT01_red_sm,active,Maaji,7.70278E+12,SMALL,115000,COP Price
2167SFT01_red_md,Size,2167SFT01_red_md,active,Maaji,7.70278E+12,MEDIUM,115000,COP Price
2167SFT01_red_lg,Size,2167SFT01_red_lg,active,Maaji,7.70278E+12,LARGE,115000,COP Price
2167SFT01_red_xl,Size,2167SFT01_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,115000,COP Price
2169SBA01_red_sm,Size,2169SBA01_red_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
2169SBA01_red_md,Size,2169SBA01_red_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
2169SBA01_red_lg,Size,2169SBA01_red_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
2169SBA01_red_xl,Size,2169SBA01_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,125000,COP Price
2170SSE01_red_sm,Size,2170SSE01_red_sm,active,Maaji,7.70278E+12,SMALL,115000,COP Price
2170SSE01_red_md,Size,2170SSE01_red_md,active,Maaji,7.70278E+12,MEDIUM,115000,COP Price
2170SSE01_red_lg,Size,2170SSE01_red_lg,active,Maaji,7.70278E+12,LARGE,115000,COP Price
2170SSE01_red_xl,Size,2170SSE01_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,115000,COP Price
2171SFH01_red_sm,Size,2171SFH01_red_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2171SFH01_red_md,Size,2171SFH01_red_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2171SFH01_red_lg,Size,2171SFH01_red_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2171SFH01_red_xl,Size,2171SFH01_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2173SFA01_black_sm,Size,2173SFA01_black_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2173SFA01_black_md,Size,2173SFA01_black_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2173SFA01_black_lg,Size,2173SFA01_black_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2173SFA01_black_xl,Size,2173SFA01_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2174SLT01_black_sm,Size,2174SLT01_black_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
2174SLT01_black_md,Size,2174SLT01_black_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
2174SLT01_black_lg,Size,2174SLT01_black_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
2174SLT01_black_xl,Size,2174SLT01_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,125000,COP Price
2175SFA01_black_sm,Size,2175SFA01_black_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2175SFA01_black_md,Size,2175SFA01_black_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2175SFA01_black_lg,Size,2175SFA01_black_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2175SFA01_black_xl,Size,2175SFA01_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
2183SCT01_orange_sm,Size,2183SCT01_orange_sm,active,Maaji,7.70278E+12,SMALL,135000,COP Price
2183SCT01_orange_md,Size,2183SCT01_orange_md,active,Maaji,7.70278E+12,MEDIUM,135000,COP Price
2183SCT01_orange_lg,Size,2183SCT01_orange_lg,active,Maaji,7.70278E+12,LARGE,135000,COP Price
2183SCT01_orange_xl,Size,2183SCT01_orange_xl,active,Maaji,7.70278E+12,EXTRA LARGE,135000,COP Price
