lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
3062SBA01_red_xl,CO,3062SBA01_red_xl,7,in_stock,dynamic,7
3063SBR01_black_sm,CO,3063SBR01_black_sm,9,in_stock,dynamic,9
3063SBR01_black_md,CO,3063SBR01_black_md,15,in_stock,dynamic,15
3063SBR01_black_lg,CO,3063SBR01_black_lg,20,in_stock,dynamic,20
3063SBR01_black_xl,CO,3063SBR01_black_xl,10,in_stock,dynamic,10
3063SBR02_orange_sm,CO,3063SBR02_orange_sm,9,in_stock,dynamic,9
3063SBR02_orange_md,CO,3063SBR02_orange_md,6,in_stock,dynamic,6
3063SBR02_orange_lg,CO,3063SBR02_orange_lg,4,in_stock,dynamic,4
3063SBR02_orange_xl,CO,3063SBR02_orange_xl,7,in_stock,dynamic,7
3066SUN01_black_sm,CO,3066SUN01_black_sm,11,in_stock,dynamic,11
3066SUN01_black_md,CO,3066SUN01_black_md,22,in_stock,dynamic,22
3066SUN01_black_lg,CO,3066SUN01_black_lg,3,in_stock,dynamic,3
3066SUN01_black_xl,CO,3066SUN01_black_xl,8,in_stock,dynamic,8
3068SSP01_black_sm,CO,3068SSP01_black_sm,12,in_stock,dynamic,12
3068SSP01_black_md,CO,3068SSP01_black_md,8,in_stock,dynamic,8
3068SSP01_black_lg,CO,3068SSP01_black_lg,5,in_stock,dynamic,5
3068SSP01_black_xl,CO,3068SSP01_black_xl,4,in_stock,dynamic,4
3068SSP02_orange_sm,CO,3068SSP02_orange_sm,23,in_stock,dynamic,23
3068SSP02_orange_md,CO,3068SSP02_orange_md,2,in_stock,dynamic,2
3068SSP02_orange_lg,CO,3068SSP02_orange_lg,5,in_stock,dynamic,5
3068SSP02_orange_xl,CO,3068SSP02_orange_xl,4,in_stock,dynamic,4
3069SSE01_orange_sm,CO,3069SSE01_orange_sm,7,in_stock,dynamic,7
3069SSE01_orange_md,CO,3069SSE01_orange_md,9,in_stock,dynamic,9
3069SSE01_orange_lg,CO,3069SSE01_orange_lg,15,in_stock,dynamic,15
3069SSE01_orange_xl,CO,3069SSE01_orange_xl,20,in_stock,dynamic,20
3070SBR01_purple_sm,CO,3070SBR01_purple_sm,9,in_stock,dynamic,9
3070SBR01_purple_md,CO,3070SBR01_purple_md,7,in_stock,dynamic,7
3070SBR01_purple_lg,CO,3070SBR01_purple_lg,5,in_stock,dynamic,5
3070SBR01_purple_xl,CO,3070SBR01_purple_xl,2,in_stock,dynamic,2
,,,,,,
9086KST02_blue_2_3k,CO,9086KST02_blue_2_3k,10,in_stock,dynamic,10
9086KST02_blue_4_6k,CO,9086KST02_blue_4_6k,9,in_stock,dynamic,9
9086KST02_blue_8_10k,CO,9086KST02_blue_8_10k,6,in_stock,dynamic,6
9086KST02_blue_12_14k,CO,9086KST02_blue_12_14k,4,in_stock,dynamic,4
9086KST02_blue_16_18k,CO,9086KST02_blue_16_18k,7,in_stock,dynamic,7
9086KST03_blue_2_3k,CO,9086KST03_blue_2_3k,11,in_stock,dynamic,11
9086KST03_blue_4_6k,CO,9086KST03_blue_4_6k,22,in_stock,dynamic,22
9086KST03_blue_8_10k,CO,9086KST03_blue_8_10k,3,in_stock,dynamic,3
9086KST03_blue_12_14k,CO,9086KST03_blue_12_14k,8,in_stock,dynamic,8
9086KST03_blue_16_18k,CO,9086KST03_blue_16_18k,12,in_stock,dynamic,12
9088KST02_red_2_3k,CO,9088KST02_red_2_3k,8,in_stock,dynamic,8
9088KST02_red_4_6k,CO,9088KST02_red_4_6k,5,in_stock,dynamic,5
9088KST02_red_8_10k,CO,9088KST02_red_8_10k,4,in_stock,dynamic,4
9088KST02_red_12_14k,CO,9088KST02_red_12_14k,23,in_stock,dynamic,23
9088KST02_red_16_18K,CO,9088KST02_red_16_18K,2,in_stock,dynamic,2
9088KST03_blue_2_3k,CO,9088KST03_blue_2_3k,5,in_stock,dynamic,5
9088KST03_blue_4_6k,CO,9088KST03_blue_4_6k,4,in_stock,dynamic,4
9088KST03_blue_8_10k,CO,9088KST03_blue_8_10k,7,in_stock,dynamic,7
9088KST03_blue_12_14k,CO,9088KST03_blue_12_14k,9,in_stock,dynamic,9
9088KST03_blue_16_18k,CO,9088KST03_blue_16_18k,15,in_stock,dynamic,15
3083KKB03_red_2k,CO,3083KKB03_red_2k,20,in_stock,dynamic,20
3083KKB03_red_4k,CO,3083KKB03_red_4k,10,in_stock,dynamic,10
3083KKB03_red_6k,CO,3083KKB03_red_6k,9,in_stock,dynamic,9
3083KKB03_red_8k,CO,3083KKB03_red_8k,6,in_stock,dynamic,6
3083KKB03_red_10k,CO,3083KKB03_red_10k,4,in_stock,dynamic,4
3083KKB03_red_12k,CO,3083KKB03_red_12k,7,in_stock,dynamic,7
3083KKB03_red_14k,CO,3083KKB03_red_14k,11,in_stock,dynamic,11
3083KKB03_red_16k,CO,3083KKB03_red_16k,22,in_stock,dynamic,22
3090KKB02_red_2k,CO,3090KKB02_red_2k,3,in_stock,dynamic,3
3090KKB02_red_4k,CO,3090KKB02_red_4k,8,in_stock,dynamic,8
