lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
2174SLT01_blue,Colour,2174SLT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517589353/Summer2018/2174SLT01_blue_1.jpg,2174SLT01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517589359/Summer2018/2174SLT01_blue_2.jpg,2174SLT01_blue_2,,,,,,,,,,,,,,azul,2174SLT01_blue_sm|2174SLT01_blue_md|2174SLT01_blue_lg|2174SLT01_blue_xl
2175SFA01_white,Colour,2175SFA01_white,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517882877/Summer2018/2175SFA01_white_1.jpg,2175SFA01_white_1,,https://res.cloudinary.com/maaji/image/upload/v1517882872/Summer2018/2175SFA01_white_2.jpg,2175SFA01_white_2,,,,,,,,,,,,,,blanco,2175SFA01_white_sm|2175SFA01_white_md|2175SFA01_white_lg|2175SFA01_white_xl
2176SRA01_black,Colour,2176SRA01_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1523304582/Summer2018/2176SRA01_black_1.jpg,2176SRA01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1523304583/Summer2018/2176SRA01_black_2.jpg,2176SRA01_black_2,,,,,,,,,,,,,,negro,2176SRA01_black_sm|2176SRA01_black_md|2176SRA01_black_lg|2176SRA01_black_xl
2177SFA01_blue,Colour,2177SFA01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517933990/Summer2018/2177SFA01_blue_1.jpg,2177SFA01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517933990/Summer2018/2177SFA01_blue_2.jpg,2177SFA01_blue_2,,,,,,,,,,,,,,azul,2177SFA01_blue_sm|2177SFA01_blue_md|2177SFA01_blue_lg|2177SFA01_blue_xl
2178SUN01_blue,Colour,2178SUN01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517934434/Summer2018/2178SUN01_blue_1.jpg,2178SUN01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517934433/Summer2018/2178SUN01_blue_2.jpg,2178SUN01_blue_2,,,,,,,,,,,,,,azul,2178SUN01_blue_sm|2178SUN01_blue_md|2178SUN01_blue_lg|2178SUN01_blue_xl
2179SSE01_blue,Colour,2179SSE01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517934928/Summer2018/2179SSE01_blue_1.jpg,1279SSE01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517934926/Summer2018/2179SSE01_blue_2.jpg,2179SSE01_blue_2,,,,,,,,,,,,,,azul,2179SSE01_blue_sm|2179SSE01_blue_md|2179SSE01_blue_lg|2179SSE01_blue_xl
2180SFT01_blue,Colour,2180SFT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517935364/Summer2018/2180SFT01_blue_1.jpg,2180SFT01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517935363/Summer2018/2180SFT01_blue_2.jpg,2180SFT01_blue_2,,,,,,,,,,,,,,azul,2180SFT01_blue_sm|2180SFT01_blue_md|2180SFT01_blue_lg|2180SFT01_blue_xl
2181SBA01_blue,Colour,2181SBA01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_1.jpg,2181SBA01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517935711/Summer2018/2181SBA01_blue_2.jpg,2181SBA01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_5.jpg,2181SBA01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_6.jpg,2181SBA01_blue_6,,,,,,,,azul,2181SBA01_blue_sm|2181SBA01_blue_md|2181SBA01_blue_lg|2181SBA01_blue_xl
2183SCT01_orange,Colour,2183SCT01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522942/Summer2018/2183SCT01_orange_1.jpg,2183SCT01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522947/Summer2018/2183SCT01_orange_2.jpg,2183SCT01_orange_2,,,,,,,,,,,,,,anaranjado,2183SCT01_orange_sm|2183SCT01_orange_md|2183SCT01_orange_lg|2183SCT01_orange_xl
2184SBA01_orange,Colour,2184SBA01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522945/Summer2018/2184SBA01_orange_1.jpg,2184SBA01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522954/Summer2018/2184SBA01_orange_2.jpg,2184SBA01_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522954/Summer2018/2184SBA01_orange_5.jpg,2184SBA01_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522956/Summer2018/2184SBA01_orange_6.jpg,2184SBA01_orange_6,,,,,,,,anaranjado,2184SBA01_orange_sm|2184SBA01_orange_md|2184SBA01_orange_lg|2184SBA01_orange_xl
2186SSP01_orange,Colour,2186SSP01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522953/Summer2018/2186SSP01_orange_1.jpg,2186SSP01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522948/Summer2018/2186SSP01_orange_2.jpg,2186SSP01_orange_2,,,,,,,,,,,,,,anaranjado,2186SSP01_orange_sm|2186SSP01_orange_md|2186SSP01_orange_lg
2187SSF01_orange,Colour,2187SSF01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1523306601/Summer2018/2187SSF01_orange_1.jpg,2187SSF01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1523306600/Summer2018/2187SSF01_orange_2.jpg,2187SSF01_orange_2,,,,,,,,,,,,,,anaranjado,2187SSF01_orange_sm|2187SSF01_orange_md|2187SSF01_orange_lg|2187SSF01_orange_xl
3008SCC02_brown,Colour,3008SCC02_brown,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3008SCC02_brown_1.jpg,3008SCC02_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1517801721/Summer2018/3008SCC02_brown_2.jpg,3008SCC02_brown_2,,https://res.cloudinary.com/maaji/image/upload/v1518894459/Summer2018/3008SCC02_brown_5.jpg,3008SCC02_brown_5,,https://res.cloudinary.com/maaji/image/upload/v1518894461/Summer2018/3008SCC02_brown_6.jpg,3008SCC02_brown_6,,,,,,,,cafe,3008SCC02_brown_sm|3008SCC02_brown_md|3008SCC02_brown_lg|3008SCC02_brown_xl
3011SHN01_pink,Colour,3011SHN01_pink,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1518186088/Summer2018/3011SHN01_pink_1.jpg,3011SHN01_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518186057/Summer2018/3011SHN01_pink_2.jpg,3011SHN01_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518186089/Summer2018/3011SHN01_pink_5.jpg,3011SHN01_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518186087/Summer2018/3011SHN01_pink_6.jpg,3011SHN01_pink_6,,,,,,,,rosado,3011SHN01_pink_sm|3011SHN01_pink_md|3011SHN01_pink_lg|3011SHN01_pink_xl
3012SFH05_blue,Colour,3012SFH05_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1518187095/Summer2018/3012SFH05_blue_1.jpg,3012SFH05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518187094/Summer2018/3012SFH05_blue_2.jpg,3012SFH05_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518187095/Summer2018/3012SFH05_blue_5.jpg,3012SFH05_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518187095/Summer2018/3012SFH05_blue_6.jpg,3012SFH05_blue_6,,https://res.cloudinary.com/maaji/image/upload/v1518187094/Summer2018/3012SFH05_blue_7.jpg,3012SFH05_blue_7,,https://res.cloudinary.com/maaji/image/upload/v1518187094/Summer2018/3012SFH05_blue_8.jpg,3012SFH05_blue_8,,azul,3012SFH05_blue_sm|3012SFH05_blue_md|3012SFH05_blue_lg
3042SFH02_black,Colour,3042SFH02_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522533/Summer2018/3042SFH02_black_1.jpg,3042SFH02_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522535/Summer2018/3042SFH02_black_2.jpg,3042SFH02_black_2,,https://res.cloudinary.com/maaji/image/upload/v1518280795/Summer2018/3042SFH02_black_5.jpg,3042SFH02_black_5,,https://res.cloudinary.com/maaji/image/upload/v1518280794/Summer2018/3042SFH02_black_6.jpg,3042SFH02_black_6,,,,,,,,negro,3042SFH02_red_sm|3042SFH02_red_md|3042SFH02_red_lg|3042SFH02_red_xl
