lv1_code,,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2180SFT01_blue_sm,2180SFT01,Size,2180SFT01_blue_sm,active,Maaji,SMALL,7702781040123,SMALL,115000,COP Price
2180SFT01_blue_md,2180SFT01,Size,2180SFT01_blue_md,active,Maaji,MEDIUM,7702781040130,MEDIUM,115000,COP Price
2180SFT01_blue_lg,2180SFT01,Size,2180SFT01_blue_lg,active,Maaji,LARGE,7702781040147,LARGE,115000,COP Price
2180SFT01_blue_xl,2180SFT01,Size,2180SFT01_blue_xl,active,Maaji,EXTRA LARGE,7702781040154,EXTRA LARGE,115000,COP Price
2181SBA01_blue_sm,2181SBA01,Size,2181SBA01_blue_sm,active,Maaji,SMALL,7702781044596,SMALL,125000,COP Price
2181SBA01_blue_md,2181SBA01,Size,2181SBA01_blue_md,active,Maaji,MEDIUM,7702781044602,MEDIUM,125000,COP Price
2181SBA01_blue_lg,2181SBA01,Size,2181SBA01_blue_lg,active,Maaji,LARGE,7702781044619,LARGE,125000,COP Price
2181SBA01_blue_xl,2181SBA01,Size,2181SBA01_blue_xl,active,Maaji,EXTRA LARGE,7702781044626,EXTRA LARGE,125000,COP Price
2183SCT01_orange_sm,2183SCT01,Size,2183SCT01_orange_sm,active,Maaji,SMALL,7702781044640,SMALL,135000,COP Price
2183SCT01_orange_md,2183SCT01,Size,2183SCT01_orange_md,active,Maaji,MEDIUM,7702781044657,MEDIUM,135000,COP Price
2183SCT01_orange_lg,2183SCT01,Size,2183SCT01_orange_lg,active,Maaji,LARGE,7702781044664,LARGE,135000,COP Price
2183SCT01_orange_xl,2183SCT01,Size,2183SCT01_orange_xl,active,Maaji,EXTRA LARGE,7702781044671,EXTRA LARGE,135000,COP Price
2184SBA01_orange_sm,2184SBA01,Size,2184SBA01_orange_sm,active,Maaji,SMALL,7702781036447,SMALL,125000,COP Price
2184SBA01_orange_md,2184SBA01,Size,2184SBA01_orange_md,active,Maaji,MEDIUM,7702781036454,MEDIUM,125000,COP Price
2184SBA01_orange_lg,2184SBA01,Size,2184SBA01_orange_lg,active,Maaji,LARGE,7702781036461,LARGE,125000,COP Price
2184SBA01_orange_xl,2184SBA01,Size,2184SBA01_orange_xl,active,Maaji,EXTRA LARGE,7702781036478,EXTRA LARGE,125000,COP Price
2186SSP01_orange_sm,2186SSP01,Size,2186SSP01_orange_sm,active,Maaji,SMALL,7702781038298,SMALL,125000,COP Price
2186SSP01_orange_md,2186SSP01,Size,2186SSP01_orange_md,active,Maaji,MEDIUM,7702781038304,MEDIUM,125000,COP Price
2186SSP01_orange_lg,2186SSP01,Size,2186SSP01_orange_lg,active,Maaji,LARGE,7702781038311,LARGE,125000,COP Price
2187SSF01_orange_sm,2187SSF01,Size,2187SSF01_orange_sm,active,Maaji,SMALL,7702781035846,SMALL,125000,COP Price
2187SSF01_orange_md,2187SSF01,Size,2187SSF01_orange_md,active,Maaji,MEDIUM,7702781035853,MEDIUM,125000,COP Price
2187SSF01_orange_lg,2187SSF01,Size,2187SSF01_orange_lg,active,Maaji,LARGE,7702781035860,LARGE,125000,COP Price
2187SSF01_orange_xl,2187SSF01,Size,2187SSF01_orange_xl,active,Maaji,EXTRA LARGE,7702781035877,EXTRA LARGE,125000,COP Price
3008SCC02_brown_sm,3008SCC02,Size,3008SCC02_brown_sm,active,Maaji,SMALL,7702781035297,SMALL,95000,COP Price
