lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
2121shn01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528398848/Spring2018/2121SHN01_blue_1.jpg,2121SHN01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528398849/Spring2018/2121SHN01_blue_2.jpg,2121SHN01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1929sfa02_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528336179/Spring2018/1929SFA02_blue_1.jpg,1929SFA02_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528336179/Spring2018/1929SFA02_blue_2.jpg,1929SFA02_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2033sun01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528389044/Spring2018/2033SUN01_blue_1.jpg,2033SUN01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528389045/Spring2018/2033SUN01_blue_2.jpg,2033SUN01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2113sft02_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528395672/Spring2018/2113SFT02_blue_1.jpg,2113SFT02_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528395673/Spring2018/2113SFT02_blue_2.jpg,2113SFT02_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2125ssp01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528401632/Spring2018/2125SSP01_blue_1.jpg,2125SSP01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528401633/Spring2018/2125SSP01_blue_2.jpg,2125SSP01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2128sfa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528402764/Spring2018/2128SFA01_blue_1.jpg,2128SFA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528402764/Spring2018/2128SFA01_blue_2.jpg,2128SFA01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528402765/Spring2018/2128SFA01_blue_7.jpg,2128SFA01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528402766/Spring2018/2128SFA01_blue_8.jpg,2128SFA01_blue_8,no,hi-res,,,,,,,,,,,,,,,,
2129sba01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528403302/Spring2018/2129SBA01_blue_1.jpg,2129SBA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528403307/Spring2018/2129SBA01_blue_2.jpg,2129SBA01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528403307/Spring2018/2129SBA01_blue_7.jpg,2129SBA01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528403308/Spring2018/2129SBA01_blue_8.jpg,2129SBA01_blue_8,no,hi-res,,,,,,,,,,,,,,,,
2127sfh01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528402043/Spring2018/2127SFH01_blue_1.jpg,2127SFH01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528402044/Spring2018/2127SFH01_blue_2.jpg,2127SFH01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3051sse01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528418469/Spring2018/3051SSE01_blue_1.jpg,3051SSE01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418471/Spring2018/3051SSE01_blue_2.jpg,3051SSE01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418471/Spring2018/3051SSE01_blue_5.jpg,3051SSE01_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418472/Spring2018/3051SSE01_blue_6.jpg,3051SSE01_blue_6,no,hi-res,,,,,,,,,,,,,,,,
3048sun01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528408854/Spring2018/3048SUN01_red_1.jpg,3048SUN01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408855/Spring2018/3048SUN01_red_2.jpg,3048SUN01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408856/Spring2018/3048SUN01_red_5.jpg,3048SUN01_red_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408857/Spring2018/3048SUN01_red_6.jpg,3048SUN01_red_6,no,hi-res,,,,,,,,,,,,,,,,
3012sfh02_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528405703/Spring2018/3012SFH02_wine_1.jpg,3012SFH02_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405704/Spring2018/3012SFH02_wine_2.jpg,3012SFH02_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405705/Spring2018/3012SFH02_wine_3.jpg,3012SFH02_wine_3,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405705/Spring2018/3012SFH02_wine_4.jpg,3012SFH02_wine_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405706/Spring2018/3012SFH02_wine_5.jpg,3012SFH02_wine_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405707/Spring2018/3012SFH02_wine_6.jpg,3012SFH02_wine_6,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405708/Spring2018/3012SFH02_wine_7.jpg,3012SFH02_wine_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528405709/Spring2018/3012SFH02_wine_8.jpg,3012SFH02_wine_8,no,hi-res
2021sfa02_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528337482/Spring2018/2021SFA02_wine_1.jpg,2021SFA02_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528337483/Spring2018/2021SFA02_wine_2.jpg,2021SFA02_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528337483/Spring2018/2021SFA02_wine_7.jpg,2021SFA02_wine_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528337484/Spring2018/2021SFA02_wine_8.jpg,2021SFA02_wine_8,no,hi-res,,,,,,,,,,,,,,,,
1916sfh02_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528335523/Spring2018/1916SFH02_wine_1.jpg,1916SFH02_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528335524/Spring2018/1916SFH02_wine_2.jpg,1916SFH02_wine_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2123sra01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528399151/Spring2018/2123SRA01_blue_1.jpg,2123SRA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528399152/Spring2018/2123SRA01_blue_2.jpg,2123SRA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2118ssf01_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528397691/Spring2018/2118SSF01_wine_1.jpg,2118SSF01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528397692/Spring2018/2118SSF01_wine_2.jpg,2118SSF01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528397969/Spring2018/2118SSF01_wine_7.jpg,2118SSF01_wine_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528397969/Spring2018/2118SSF01_wine_8.jpg,2118SSF01_wine_8,no,hi-res,,,,,,,,,,,,,,,,
1045trs01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528220733/Spring2018/1045TRS01_blue_1.jpg,1045TRS01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528220734/Spring2018/1045TRS01_blue_2.jpg,1045TRS01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528220735/Spring2018/1045TRS01_blue_5.jpg,1045TRS01_blue_5,no,hi-res,,,,,,,,,,,,,,,,,,,,
1042trs01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528204117/Spring2018/1042TRS01_blue_1.jpg,1042TRS01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528204118/Spring2018/1042TRS01_blue_2.jpg,1042TRS01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528204120/Spring2018/1042TRS01_blue_5.jpg,1042TRS01_blue_5,no,hi-res,,,,,,,,,,,,,,,,,,,,
1043trs01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1528219019/Spring2018/1043TRS01_red_1.jpg,1043TRS01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528219020/Spring2018/1043TRS01_red_2.jpg,1043TRS01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528219021/Spring2018/1043TRS01_red_5.jpg,1043TRS01_red_5,no,hi-res,,,,,,,,,,,,,,,,,,,,
1044trs01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1528219871/Spring2018/1044TRS01_black_1.jpg,1044TRS01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528219872/Spring2018/1044TRS01_black_2.jpg,1044TRS01_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528219873/Spring2018/1044TRS01_black_5.jpg,1044TRS01_black_5,no,hi-res,,,,,,,,,,,,,,,,,,,,
1048tss01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528223976/Spring2018/1048TSS01_blue_1.jpg,1048TSS01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528223979/Spring2018/1048TSS01_blue_2.jpg,1048TSS01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
